Player ID,First Name,Last Name,Position,Salary ($),Games Played,Total Points,Average Points
1029301,Leonardo,Lombard,Midfielder,316000,0,0,0
1008510,Corey,Durdin,Forward,316000,13,400,30.8
1021015,Karl,Worner,Defender,315000,4,144,36
1016189,Henry,Smith,Forward,315000,4,150,37.5
295222,Joel,Hamling,Forward,314000,0,0,0
1030433,Alixzander,Tauru,Defender / Forward,313000,0,0,0
1028531,Xavier,Lindsay,Midfielder,310000,0,0,0
1032106,Taj,Hotton,Midfielder / Forward,307000,0,0,0
1028554,Isaac,Kako,Midfielder / Forward,304000,0,0,0
1021200,Lachlan,McAndrew,Ruck,302000,0,0,0
1028498,Jonty,Faull,Forward,301000,0,0,0
1009385,Deven,Robertson,Midfielder / Forward,301000,2,54,27
1024023,Daniel,Curtin,Forward,300000,7,225,32.1
1027877,Connor,O'Sullivan,Defender,300000,1,40,40
1028529,Joe,Berry,Forward,298000,0,0,0
1017043,Judson,Clarke,Forward,297000,1,17,17
1023144,Robert,Hansen Jr,Forward,295000,6,196,32.7
1028449,Bo,Allan ,Defender / Midfielder,295000,0,0,0
1028513,Murphy,Reid ,Midfielder,292000,0,0,0
1012127,Brandon,Ryan,Forward,290000,1,19,19
1028485,Oliver,Hannaford,Midfielder / Forward,289000,0,0,0
1028562,Harrison,Oliver,Defender,286000,0,0,0
992472,Oscar,McDonald,Defender,285000,1,38,38
1020586,Arthur,Jones,Forward,285000,1,38,38
1017933,Alwyn,Davey Jnr,Forward,284000,10,277,27.7
1029456,Cooper,Hynes,Midfielder,283000,0,0,0
1028521,Luke,Trainor,Defender,280000,0,0,0
997501,Ryan,Gardner,Defender,279000,0,0,0
1013532,Tom,Fullarton,Forward,278000,0,0,0
1027965,Max,Ramsden,Forward,278000,3,103,34.3
1029589,Jesse,Dattoli,Midfielder / Forward,277000,0,0,0
1028525,Harry,Armstrong ,Forward,274000,0,0,0
1032619,Cody,Angove ,Midfielder / Forward,271000,0,0,0
1028520,Sam,Marshall,Midfielder,268000,0,0,0
1024188,Clay,Hall,Midfielder,267000,3,99,33
1023542,Ted,Clohesy,Midfielder / Forward,265000,2,68,34
1027406,Ned,Bowman,Forward,265000,0,0,0
999715,Jy,Farrar,Defender,265000,0,0,0
1028547,Matt,Whitlock,Defender / Forward,262000,0,0,0
1027969,Harvey,Johnston,Defender,260000,6,173,28.8
1018996,Thomas,Sims ,Ruck / Forward,259000,0,0,0
1018424,Corey,Warner,Forward,257000,6,171,28.5
1028493,Lachie,Jaques,Defender,256000,0,0,0
1031913,Jobe,Shanahan,Forward,253000,0,0,0
1006087,Caleb,Graham,Defender,252000,0,0,0
1034235,Josh,Dolan,Forward,250000,0,0,0
1028545,James,Barrat,Defender / Forward,247000,0,0,0
1032053,Jack,Whitlock,Forward,244000,0,0,0
1024057,Caiden,Cleary,Forward,244000,5,140,28
1017751,Josh,Fahey,Defender,242000,0,0,0
1027155,Charlie,Nicholls,Forward,241000,0,0,0
1028643,Noah,Mraz,Defender,238000,0,0,0
1028539,Jack,Ough,Midfielder,235000,0,0,0
1029159,Kayle,Gerreyn ,Ruck,232000,0,0,0
1032650,Zane,Zakostelsky,Defender / Ruck,230000,0,0,0
1028519,Zak,Johnson,Midfielder,230000,0,0,0
1038801,Zak,Evans,Midfielder,230000,0,0,0
1012817,Zach,Reid,Defender,230000,1,17,17
1028489,Xavier,Ivisic,Midfielder,230000,0,0,0
1029158,Xavier,Walsh,Forward,230000,0,0,0
1027901,William,Green,Ruck,230000,0,0,0
1032922,William,Hayes,Midfielder / Forward,230000,0,0,0
1022410,William,McCabe,Defender,230000,0,0,0
1017757,William,Edwards,Defender,230000,0,0,0
1015473,Will,Verrall,Ruck,230000,0,0,0
1029405,Will,McLachlan,Forward,230000,0,0,0
1029262,Will,Lorenz,Midfielder,230000,1,25,25
1027713,Will,White,Forward,230000,0,0,0
1028551,Wil,Dawson,Defender,230000,3,73,24.3
1016140,Wade,Derksen,Forward,230000,0,0,0
1027966,Vigo,Visentini,Ruck,230000,0,0,0
1022447,Tyler,Welsh,Forward,230000,0,0,0
1034411,Ty,Gallop,Forward,230000,0,0,0
1022371,Tom,Cochrane,Midfielder,230000,0,0,0
1027687,Tom,Hanily,Midfielder,230000,0,0,0
1028561,Tom,Gross,Midfielder,230000,0,0,0
1027870,Tom,Anastasopoulos,Forward,230000,0,0,0
1020950,Toby,Murray,Forward,230000,0,0,0
1018323,Thomas,Edwards,Forward,230000,0,0,0
1032017,Tew,Jiath,Defender,230000,1,27,27
1031506,Taylor,Goad,Ruck,230000,0,0,0
1013315,Sandy,Brock,Defender,230000,0,0,0
1036123,Sam,Davidson,Forward,230000,0,0,0
1015919,Saad,El-Hawli,Defender / Midfielder,230000,0,0,0
1035129,Rob,Monahan,Forward,230000,0,0,0
1031989,River,Stevens,Midfielder / Forward,230000,0,0,0
1008224,Riley,Bice,Defender,230000,0,0,0
1029211,Ricky,Mentha ,Defender / Forward,230000,0,0,0
1027659,Riak,Andrew,Defender,230000,0,0,0
1032023,Rhys,Unwin,Midfielder,230000,0,0,0
1017718,Rhett,Bazzo,Defender,230000,1,26,26
1024187,Reece,Torrent,Midfielder,230000,0,0,0
1032042,Phoenix,Gothard,Forward,230000,0,0,0
